"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Yates County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
es,Barrington (Town),.2 MI E JCT SR14A & SR230,14A 14A66041057 BIG STREAM CREEK,NYSDOT,1969,04/13/2016,N,5.67
es,Barrington (Town),RTE 54 0.6 MI NE OF CL,54  54 66021006 EGGLESTON CREEK,NYSDOT,2010,10/18/2016,N,7.00
es,Barrington (Town),1.0 MI SW JCT RTS 14A+230,230 230 66031035 FINNEGAN CREEK,NYSDOT,2015,10/20/2015,N,7.00
es,Barrington (Town),1.0 MI W OF DUNDEE,GIBSON ROAD TRIB BIG STREAM,30 - County,1926,06/29/2016,SD,4.28
es,Barrington (Town),1.9 MI.NE JCT RT230,HALEY RD BIG STREAM,30 - County,1985,04/18/2017,N,4.70
es,Barrington (Town),3.6 MI NW OF DUNDEE,MOON HILL ROAD TRIB BIG STREAM,30 - County,2001,06/12/2017,N,6.64
es,Barrington (Town),2.5 MI W OF DUNDEE,RAY CROSBY ROAD BIG STREAM,30 - County,1991,06/29/2016,N,4.00
es,Benton (Town),1.8 MI NW OF BELLONA,ALEXANDER RD KASHONG CREEK,30 - County,1934,08/24/2017,N,6.52
es,Benton (Town),.7 MILE WEST OF BELLONA,COLEMAN ROAD KASHONG CREEK,30 - County,2007,06/12/2017,N,7.00
es,Benton (Town),IN BELLONA,PREEMPTION ROAD KASHONG CREEK,30 - County,1934,08/14/2017,N,6.04
es,Benton (Town),0.9 MI W OF BELLONA,THISTLE STREET KASHONG CREEK,30 - County,1992,03/29/2016,N,6.27
es,Dresden (Village),0.1 MI SE JCT RTS 14 & 54,14  14 66031159 KEUKA LAKE OUTLET,NYSDOT,1982,06/20/2017,N,5.44
es,Dresden (Village),IN DRESDEN,MILO STREET KEUKA LAKE OUTLET,30 - County,1930,07/12/2017,N,5.26
es,Dundee (Village),S END DUNDEE,14A 14A66041037 BIG STREAM CREEK,NYSDOT,1928,09/16/2015,SD,4.05
es,Dundee (Village),IN DUNDEE,BRIDGE STREET BIG STREAM,30 - County,1988,10/17/2017,N,6.60
es,Italy (Town),1.5 MI W OF ITALY,COUNTY ROAD 18 SEGAR GULLY,30 - County,1977,05/17/2016,N,7.00
es,Italy (Town),1.1 MI N OF ITALY ON CR18,COUNTY ROAD 18 FLINT CREEK,30 - County,1991,05/17/2016,N,6.33
es,Italy (Town),4.0 MI SOUTH OF MIDDLESEX,ITALY VALLEY ROAD FLINT CREEK,30 - County,1995,09/05/2017,N,7.00
es,Italy (Town),4.6 MI SW OF MIDDLESEX,SUNNYSIDE ROAD WEST RIVER,30 - County,1991,06/29/2016,N,6.48
es,Italy (Town),5.3 MI SW OF MIDDLESEX,WEST AVENUE TRIB WEST RIVER,30 - County,1986,07/06/2016,SD,7.00
es,Jerusalem (Town),0.4 MI E OF BRANCHPORT,54A 54A66021017 SUGAR CREEK,NYSDOT,1991,04/21/2016,N,5.34
es,Jerusalem (Town),IN GUYANOGA,COUNTY ROAD 24 BIG GULLY,30 - County,2003,10/16/2017,N,7.00
es,Jerusalem (Town),IN GUYANOGA,COUNTY ROAD 24 SUGAR CREEK,30 - County,2003,04/13/2017,N,7.00
es,Jerusalem (Town),IN GUYANOGA,COUNTY ROAD 29 BIG GULLY,30 - County,1989,05/12/2016,N,6.54
es,Jerusalem (Town),5.0 MI W OF PENN YAN,EAST SHERMAN HOLL SUGAR CREEK,30 - County,1991,04/11/2016,N,6.80
es,Middlesex (Town),1.1 MI NW SR245 + SR364,245 245 66051082 WEST RIVER,NYSDOT,2012,09/21/2016,N,7.00
es,Middlesex (Town),3.7 MI NW SR245 + SR364,245 245 66051108 WEST RIVER,NYSDOT,2012,09/21/2016,N,7.00
es,Middlesex (Town),0.6 MI NW JCT RTS 245+364,364 364 66011124 WEST RIVER,NYSDOT,1939,10/13/2015,N,4.55
es,Middlesex (Town),1.5 MI SW OF MIDDLESEX,CAWARD CROSS RD WEST RIVER,30 - County,1978,06/29/2016,N,5.00
es,Middlesex (Town),1.6 MI SW OF RUSHVILLE,LOOMIS ROAD WEST RIVER,30 - County,1953,05/15/2017,SD,4.15
es,Middlesex (Town),3.0 MI SW OF RUSHVILLE,VALLEY VIEW ROAD WEST RIVER,30 - County,1953,09/13/2017,SD,
es,Middlesex (Town),IN VINE VALLEY,VINE VALLEY ROAD VINEVALLEY CREEK,30 - County,2016,12/13/2016,N,7.00
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Yates County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
es,Middlesex (Town),IN MIDDLESEX,WILLIAM STREET WEST RIVER,30 - County,1973,08/30/2016,SD,4.10
es,Milo (Town),3.3 MILES SW OF PENN YAN,54  54 66021077 WILLOW GROVE CRK,NYSDOT,1937,03/23/2016,SD,4.43
es,Milo (Town),3.0 MI.EAST OF PENN YAN,COUNTY ROAD 9 KEUKA LAKE OUTLET,30 - County,1985,06/08/2016,N,6.23
es,Milo (Town),0.3 MI E OF PENN YAN,FOX MILL ROAD KEUKA LAKE OUTLET,30 - County,2011,10/16/2017,N,6.91
es,Milo (Town),5.0 MI S OF PENN YAN,OLD EAST LAKE RD. TRIB KEUKA LAKE,30 - County,2014,11/14/2016,N,7.00
es,Milo (Town),1.8 MI EAST OF HIMROD,PLUM POINT ROAD PLUM POINT CREEK,30 - County,1988,03/29/2016,N,5.82
es,Penn Yan (Village),RTE 14A OVER KEUKA OUTLET,14A 14A66041159 KEUKA LAKE OUTLET,NYSDOT,2012,07/25/2016,N,6.70
es,Penn Yan (Village),IN PENN YAN,CHERRY STREET KEUKA LAKE OUTLET,30 - County,1992,03/29/2016,N,7.00
es,Penn Yan (Village),IN PENN YAN,MAIN STREET KEUKA LAKE OUTLET,30 - County,1880,11/08/2016,N,6.68
es,Penn Yan (Village),IN VILLAGE OF PENN YAN,SOUTH AVENUE KIMBLES BROOK,30 - County,2000,04/12/2017,N,6.52
es,Potter (Town),7 MI NW JCT SR14A & SR364,364 364 66011071 NETTLE VALLEY CRK,NYSDOT,1985,04/06/2017,N,5.00
es,Potter (Town),S END OF POTTER,364 364 66011082 FLINT CREEK,NYSDOT,1976,07/28/2015,N,5.33
es,Potter (Town),3.8 MILES E OF RUSHVILLE,COUNTY ROAD 4 POTTER SWAMP CRK,30 - County,1995,09/05/2017,N,6.32
es,Potter (Town),5.2 MI.W OF PENN YAN,OLD COUNTY ROAD SUGAR CREEK,30 - County,1973,04/11/2016,N,5.33
es,Potter (Town),2 MI.SW OF POTTER,PHELPS ROAD FLINT CREEK,30 - County,1987,08/17/2016,N,7.00
es,Potter (Town),3.6 MI WEST OF PENN YAN,YATESVILLE ROAD SUGAR CREEK,30 - County,1992,04/12/2017,N,6.57
es,Rushville (Village),IN RUSHVILLE,WATER STREET WEST RIVER,30 - County,1986,06/09/2016,N,5.90
es,Starkey (Town),7.4 MI N OF WATKINS GLEN,14  14 66031014 ROCK STREAM,NYSDOT,1998,09/27/2016,N,6.22
es,Starkey (Town),7.8 MI N OF WATKINS GLEN,14  14 66031018 BIG STREAM,NYSDOT,1998,09/27/2016,N,6.30
es,Starkey (Town),2 MILES SE OF HIMROD,CASTLE POINT ROAD TRIB SENECA LAKE,30 - County,2005,10/26/2015,N,6.86
es,Starkey (Town),IN GLENORA,GLENORA ROAD BIG STREAM,30 - County,1985,06/16/2016,N,6.77
es,Starkey (Town),IN GLENORA,SOUTH GLENORA RD BIG STREAM,30 - County,1998,04/24/2017,N,6.92
es,Torrey (Town),1.75MI W RTE 14TON CR 26,CR26 CITY HILL RD HIMROD CREEK,30 - County,1985,06/08/2016,N,7.00
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Yates County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty Municipality,Location,,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
"rrent as of October 31, 2017",,,,,,,,
rally Deficient (SD)/Functionally Obsolete (FO) info is current as of,,,,,,,,
Status,,,,,,,,
"= Structurally Deficient",,,,,,,,
"= Functionally Obsolete",,,,,,,,
Neither SD/FO,,,,,,,,
k = No data available,,,,,,,,
tems,,,,,,,,
k = Data not available,,,,,,,,
ondition Rating,,,,,,,,
"se refer to the narrative, FAQs and the 'Key to New York State Highway Bridge Data' for additional",,,,,,,,
on.,,,,,,,,
