"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Cayuga County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
uga,Auburn (City),JCT RTE 5 + OWASCO OUTLET,55 31072114 OWASCO OUTLET,NYSDOT,1976,08/29/2017,N,6.34
uga,Auburn (City),JCT RTE 5 + OWASCO OUTLET,55 31072115 OWASCO OUTLET,NYSDOT,1976,09/25/2017,FO,5.31
uga,Auburn (City),.1 MI N JCT SH 34 & US 20,34  34 31052014 OWASCO OUTLET,42 - City,1912,10/14/2016,N,6.63
uga,Auburn (City),RTE 38-200 FT FROM RTE 5,38  38 31042023 OWASCO OUTLET,42 - City,1980,06/01/2017,SD,3.61
uga,Auburn (City),0.2MI NE JCT20<326 AUBURN,AURELIUS AVENUE OWASCO OUTLET,42 - City,1886,07/31/2017,FO,3.69
uga,Auburn (City),.2 MI NE JCT US20 & SH326,CANOGA STREET OWASCO OUTLET,42 - City,1930,07/31/2017,N,3.95
uga,Auburn (City),0.6 MI NORTH OF NYS RT 20,FRANKLIN STREET HUNTER BROOK,42 - City,1985,05/16/2017,N,7.00
uga,Auburn (City),0.7 MI W JCT RTS 326 & 20,GENESEE STREET CRANE BROOK,NYSDOT,1975,06/12/2017,N,7.00
uga,Auburn (City),IN AUBURN,GENESEE STREET OWASCO OUTLET,42 - City,1880,11/17/2015,N,5.01
uga,Auburn (City),1.1MI SE STATE PRISON IN,LAKE AVENUE OWASCO OUTLET,42 - City,1954,10/05/2015,FO,4.86
uga,Auburn (City),0.3 MI WEST OF NYS RT 5,MCINTOSH DRIVE HUNTER BROOK,42 - City,1973,05/16/2017,N,7.00
uga,Auburn (City),0.5 M S OF JUNC US20&US5,MILLER STREET OWASCO POWER RACE,42 - City,1978,11/17/2015,N,4.47
uga,Auburn (City),.5 MI SW OF STATE PRISON,NORTH DIVISION ST OWASCO OUTLET,42 - City,1964,11/30/2016,SD,2.40
uga,Auburn (City),0.5 MI WEST OF NYS RT 5,SCHWARTZ DRIVE HUNTER BROOK,42 - City,1971,08/22/2017,SD,1.00
uga,Auburn (City),3 MI E JCT US 20 & SH 326,WASHINGTON ST OWASCO OUTLET,42 - City,1925,08/03/2016,N,5.98
uga,Auburn (City),.5 MI W JCT US 20 & SH 34,WASHINGTON ST OWASCO RIVER RACE,42 - City,1996,08/03/2016,N,6.11
uga,Auburn (City),0.3MI SE OF NYSRT20&RT326,WRIGHT AVENUE CRANE BROOK,42 - City,1973,07/06/2017,N,5.00
uga,Aurelius (Town),5.2 MI SE JCT SH20 & SH90,55 31071054 FINGER LAKES RAILROAD,NYSDOT,1995,06/13/2017,N,6.48
uga,Aurelius (Town),2.2 MI W JCT SH 5 & SH 20,55 31071079 CRANE BROOK,NYSDOT,1975,05/19/2016,N,3.00
uga,Aurelius (Town),.2 MI S JCT SH 326 & SH 5,326 326 31013000 CRANE BROOK,NYSDOT,1975,05/19/2016,N,7.00
uga,Aurelius (Town),1.6MI W JCT RTS 20 < 38,CLARK STREET ROAD CRANE BROOK,30 - County,1930,11/02/2015,N,4.30
uga,Aurelius (Town),2 MILES WEST OF AUBURN,COUNTY ROAD 7A CRANE BROOK,30 - County,1970,05/08/2017,N,5.00
uga,Aurelius (Town),2 MI WEST OF AUBURN,WEBSTER ROAD CRANE BROOK,40 - Town,1955,07/07/2016,FO,4.49
uga,Aurora (Village),8.9 MI S JCT SH90 & SH326,90  90 31021273 PAINES CREEK,NYSDOT,2010,08/09/2016,N,6.82
uga,Brutus (Town),0.9 MI SW JCT RTS 31B+ 34,31  31 31081074 COLDSPRINGBROOK,NYSDOT,1948,05/13/2016,N,6.73
uga,Brutus (Town),0.2 MI  E JCT RTS 31 + 34,31  31 31081091 PUTNAM BROOK,NYSDOT,1950,08/22/2017,N,6.48
uga,Brutus (Town),.3 MI S JCT SH 34 & I90,34  34 31053074 DUNN RD PRKNG ACC,NYSDOT,1990,05/31/2017,FO,5.42
uga,Brutus (Town),JCT.RTE.34 + CANAL,34  34 31053083 ERIE BARGE CANAL,NYSDOT,1964,08/23/2016,SD,3.09
uga,Brutus (Town),JCT OF RTS 34 + I-90,34 34 31053077 90IX,2L - NYS Thruway Authority,1953,11/09/2015,SD,4.31
uga,Brutus (Town),2.7MI E INTCGE 40 ON I90,90IX BONTA BR RD CR14,2L - NYS Thruway Authority,1953,04/20/2016,FO,6.00
uga,Brutus (Town),0.5 MI N OF EX 40 ON I90,90IX COLD SPRING BROOK,2L - NYS Thruway Authority,1948,11/02/2016,N,6.60
uga,Brutus (Town),2.3 MI E JCT SH34 & CANAL,BONTA BRIDGE ROAD ERIE CANAL/SEN RV,NYSDOT,1912,08/31/2016,SD,3.49
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Cayuga County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
uga,Brutus (Town),0.3 MI SE WEEDSPORT,E. BRUTUS ST.ROAD PUTNAM BROOK,30 - County,1960,06/28/2017,N,6.71
uga,Brutus (Town),I90 EXIT 40 RAMP BRIDGE,EXIT 40 RAMP 90IX,2L - NYS Thruway Authority,2003,10/06/2015,N,6.23
uga,Brutus (Town),1.0 MI SW OF WEEDSPORT,HAMILTON ROAD NORTH BROOK,40 - Town,1989,11/07/2016,SD,4.00
uga,Brutus (Town),1.3 MI NORTH OF NYS RTE 5,JERICHO ROAD PUTNAM BROOK,30 - County,2014,08/02/2017,N,4.00
uga,Brutus (Town),2MI SE WEEDSPORT,JERICHO ROAD PUTNAM BROOK,30 - County,1961,04/12/2017,SD,3.05
uga,Brutus (Town),1.1 MI W EXIT 40 ON 90I,OAKLAND RD CR 13B 90IX,2L - NYS Thruway Authority,1988,04/24/2017,FO,5.70
uga,Brutus (Town),.5 MILE NW OF WEEDSPORT,OAKLAND ROAD CSX TRANS/AMTRAK,30 - County,1993,06/20/2017,FO,4.18
uga,Brutus (Town),1.0 MI N OF WEEDSPORT,RIVER FOREST ROAD COLD SPRING BROOK,40 - Town,1983,07/26/2017,N,5.00
uga,Brutus (Town),1 MILE EAST OF WEEDSPORT,SHEPHERD ROAD PUTNAM BROOK,30 - County,1964,08/07/2017,SD,4.24
uga,Brutus (Town),1.7 MI NW OF WEEDSPORT,TOWN LINE RD 90IX,2L - NYS Thruway Authority,1953,08/25/2015,FO,5.35
uga,Cato (Town),2 MILES NE OF WEEDSPORT,DITMAR ROAD MUSKRAT CREEK,40 - Town,1940,08/31/2017,N,4.85
uga,Cato (Town),3 MILES NE OF WEEDSPORT,JOROLEMON ROAD MUSKRAT CREEK,30 - County,1991,08/28/2017,N,6.29
uga,Cato (Town),3.5 mi S Vil of Meridian,SHORT CUT ROAD MUSKRAT CREEK,30 - County,1986,05/31/2017,N,6.81
uga,Conquest (Town),1.5 MI SSW OF CONQUEST,Spring Lake Rd Mud Pond Outlet,30 - County,2004,10/27/2016,N,7.00
uga,Fleming (Town),2.1 MI SW JCT RTS 34B+ 34,34B 34B31021157 EXT.YAWGER CREEK,NYSDOT,1971,06/01/2017,N,6.00
uga,Fleming (Town),.1 MI W JCT SH 38 & SH38A,437 437 31011003 OWASCO OUTLET,NYSDOT,2004,06/27/2017,N,6.68
uga,Fleming (Town),4 MI NE UNION SPRINGS,RIDGE ROAD YAWGER CREEK,30 - County,1957,04/13/2017,N,5.65
uga,Genoa (Town),.7 MI N JCT SH 90 & SH 34,34  34 31051049 TRIB SALMON CREEK,NYSDOT,1961,09/25/2017,N,4.00
uga,Genoa (Town),.5 MI W JCT SH 90 & SH 38,90  90 31021160 BIG SALMON CREEK,NYSDOT,2002,06/29/2016,N,6.86
uga,Genoa (Town),2.4 MI E JCT SH90 & SH34B,90  90 31021177 LITT SALMON CREEK,NYSDOT,2010,08/09/2016,N,7.00
uga,Genoa (Town),2 MI SW OF EAST GENOA,BLAKLEY ROAD SALMON CREEK,40 - Town,1931,08/16/2016,SD,3.68
